run_id,model,dataset,variant,seed,group,eligible_users,relevant_items,recall_at_10,recall_at_20,ndcg_at_10,ndcg_at_20
TaxPro-CL|amazon-book|V0|seed0,TaxPro-CL,amazon-book,V0,0,long_tail,36609,24260,0.002465377732655072,0.0058447187798803,0.001340276333490956,0.0024427344832011837
TaxPro-CL|amazon-book|V0|seed0,TaxPro-CL,amazon-book,V0,0,overall,,,0.026825501594863195,0.045584157544759724,0.02825177391034484,0.03559351516493847
TaxPro-CL|amazon-book|V0|seed0,TaxPro-CL,amazon-book,V0,0,warm,52123,55186,0.03491797433672589,0.05840484806817515,0.03164741255317593,0.04067725784379677
TaxPro-CL|amazon-book|V0|seed1,TaxPro-CL,amazon-book,V0,1,near_cold,13238,2363,0.0006609759782444479,0.003758120562018432,0.00024051329390902543,0.001049119823098226
TaxPro-CL|amazon-book|V0|seed1,TaxPro-CL,amazon-book,V0,1,long_tail,36609,24260,0.002387684656389074,0.005662773570848905,0.0013536084759666472,0.0024101964788240827
TaxPro-CL|amazon-book|V0|seed1,TaxPro-CL,amazon-book,V0,1,overall,,,0.026733651294238454,0.0456250136847948,0.028367825189066605,0.03576911706522527
TaxPro-CL|amazon-book|V0|seed1,TaxPro-CL,amazon-book,V0,1,warm,52123,55186,0.03483179849268017,0.058606668807633135,0.03177947834984787,0.04092413670418445
TaxPro-CL|amazon-book|V1|seed42,TaxPro-CL,amazon-book,V1,42,near_cold,13238,2363,0.0008120562018431787,0.0034937301707206525,0.0002763862561113203,0.0009655598993562114
TaxPro-CL|amazon-book|V1|seed42,TaxPro-CL,amazon-book,V1,42,long_tail,36609,24260,0.0024682311895772007,0.005880801372128977,0.001373841502679664,0.0024737181865180664
TaxPro-CL|amazon-book|V1|seed42,TaxPro-CL,amazon-book,V1,42,overall,,,0.026687243170284862,0.04567257702919123,0.02825668212814689,0.035719549465553835
TaxPro-CL|amazon-book|V1|seed42,TaxPro-CL,amazon-book,V1,42,warm,52123,55186,0.034633930786191765,0.05853505354155587,0.03161222852219264,0.04080596341172622
TaxPro-CL|amazon-book|V1|seed0,TaxPro-CL,amazon-book,V1,0,near_cold,13238,2363,0.000982021453391751,0.0035189102079871077,0.0003066604498642284,0.0009697220414463604
TaxPro-CL|amazon-book|V1|seed0,TaxPro-CL,amazon-book,V1,0,long_tail,36609,24260,0.0024814872393336706,0.005739145473691958,0.0013393130603219473,0.002407442056115958
TaxPro-CL|amazon-book|V1|seed0,TaxPro-CL,amazon-book,V1,0,overall,,,0.02670610388335232,0.04526445101110745,0.028076863693052734,0.035332788844407076
TaxPro-CL|amazon-book|V1|seed0,TaxPro-CL,amazon-book,V1,0,warm,52123,55186,0.03472734848165012,0.05798392053296785,0.031444255519559566,0.040374472605946524
TaxPro-CL|amazon-book|V1|seed1,TaxPro-CL,amazon-book,V1,1,near_cold,13238,2363,0.0006609759782444479,0.0036825804502190664,0.00024449828008661466,0.0010365225825468615
TaxPro-CL|amazon-book|V1|seed1,TaxPro-CL,amazon-book,V1,1,long_tail,36609,24260,0.002391432235452998,0.0057862826510371,0.0013555988886103114,0.002446793851058167
TaxPro-CL|amazon-book|V1|seed1,TaxPro-CL,amazon-book,V1,1,overall,,,0.02677223998945559,0.04565762873900767,0.028397458021200396,0.03578901520956078
TaxPro-CL|amazon-book|V1|seed1,TaxPro-CL,amazon-book,V1,1,warm,52123,55186,0.03485171623799428,0.05864455979427188,0.03181109190912193,0.040945036589237135
TaxPro-CL|amazon-book|V2|seed42,TaxPro-CL,amazon-book,V2,42,near_cold,13238,2363,0.0008120562018431787,0.0034937301707206525,0.0002763862561113203,0.0009650135956889548
TaxPro-CL|amazon-book|V2|seed42,TaxPro-CL,amazon-book,V2,42,long_tail,36609,24260,0.0024443762295110333,0.005881809451068711,0.0013595496715603727,0.0024720420058470852
TaxPro-CL|amazon-book|V2|seed42,TaxPro-CL,amazon-book,V2,42,overall,,,0.02668425713261122,0.04563697892476157,0.028245839092759007,0.03569554531373531
TaxPro-CL|amazon-book|V2|seed42,TaxPro-CL,amazon-book,V2,42,warm,52123,55186,0.03465182181660625,0.05848005074447986,0.031615437033509296,0.04077979087437371
TaxPro-CL|amazon-book|V2|seed0,TaxPro-CL,amazon-book,V2,0,near_cold,13238,2363,0.0009064813415923856,0.0038588407110842528,0.0002883550708396938,0.001055072591197873
TaxPro-CL|amazon-book|V2|seed0,TaxPro-CL,amazon-book,V2,0,long_tail,36609,24260,0.002465377732655072,0.0058447187798803,0.0013409019393099328,0.002443209021392252
TaxPro-CL|amazon-book|V2|seed0,TaxPro-CL,amazon-book,V2,0,overall,,,0.02682425772263013,0.04558886164338658,0.028252741855239953,0.035595668878381295
TaxPro-CL|amazon-book|V2|seed0,TaxPro-CL,amazon-book,V2,0,warm,52123,55186,0.03491599196371729,0.05840840404126472,0.03164754187743659,0.040678486873412883
TaxPro-CL|amazon-book|V2|seed1,TaxPro-CL,amazon-book,V2,1,near_cold,13238,2363,0.0006609759782444479,0.003758120562018432,0.00024051329390902543,0.001049119823098226
TaxPro-CL|amazon-book|V2|seed1,TaxPro-CL,amazon-book,V2,1,long_tail,36609,24260,0.002391099117313983,0.005662773570848905,0.0013556057126692044,0.002410417921251143
TaxPro-CL|amazon-book|V2|seed1,TaxPro-CL,amazon-book,V2,1,overall,,,0.026735246018877227,0.04563952722453219,0.028367746169904198,0.035771860209817
TaxPro-CL|amazon-book|V2|seed1,TaxPro-CL,amazon-book,V2,1,warm,52123,55186,0.03483475243343508,0.05863298164274607,0.031777144404826464,0.040927167986009996
TaxPro-CL|amazon-book|V3|seed42,TaxPro-CL,amazon-book,V3,42,near_cold,13238,2363,0.0008120562018431787,0.0034937301707206525,0.0002763862561113203,0.0009655598993562114
TaxPro-CL|amazon-book|V3|seed42,TaxPro-CL,amazon-book,V3,42,long_tail,36609,24260,0.0024682311895772007,0.005892638170001995,0.0013731992629901315,0.0024756918487474563
TaxPro-CL|amazon-book|V3|seed42,TaxPro-CL,amazon-book,V3,42,overall,,,0.026682177217917484,0.045681961544170244,0.028253210380011152,0.03572337104993104
TaxPro-CL|amazon-book|V3|seed42,TaxPro-CL,amazon-book,V3,42,warm,52123,55186,0.03462726919299448,0.05854788005921629,0.03160902874028537,0.04081116552462557
TaxPro-CL|amazon-book|V3|seed0,TaxPro-CL,amazon-book,V3,0,near_cold,13238,2363,0.000982021453391751,0.0035189102079871077,0.0003066604498642284,0.0009697220414463604
TaxPro-CL|amazon-book|V3|seed0,TaxPro-CL,amazon-book,V3,0,long_tail,36609,24260,0.0024814872393336706,0.00574825070282505,0.0013393130603219473,0.00241036048612666
TaxPro-CL|amazon-book|V3|seed0,TaxPro-CL,amazon-book,V3,0,overall,,,0.026698932714352468,0.045267159001518585,0.028071591668493507,0.03533302517779711
TaxPro-CL|amazon-book|V3|seed0,TaxPro-CL,amazon-book,V3,0,warm,52123,55186,0.03471745222504145,0.05798482931452403,0.03143799602047015,0.04037357815443069
TaxPro-CL|amazon-book|V3|seed1,TaxPro-CL,amazon-book,V3,1,near_cold,13238,2363,0.0006609759782444479,0.0036825804502190664,0.00024449828008661466,0.0010365225825468615
TaxPro-CL|amazon-book|V3|seed1,TaxPro-CL,amazon-book,V3,1,long_tail,36609,24260,0.002391432235452998,0.0057862826510371,0.0013563328723247886,0.0024475278347726435
